start5_mean,start10_mean,start15_mean,start20_mean,start25_mean,start30_mean,start35_mean,start40_mean,start5_sd,start10_sd,start15_sd,start20_sd,start25_sd,start30_sd,start35_sd,start40_sd
0.038985199,0.028945212,0.018235625,0.012010952,0.009438848,0.00491963,0.00700568,0.003757811,0.028120626,0.027789845,0.030560083,0.029373663,0.030100212,0.030042105,0.030669514,0.031246514
0.031843805,0.024501379,0.019959805,0.005097066,0.00585928,0.004575574,0.013414601,0.006904991,0.035266542,0.026452823,0.027001072,0.032722253,0.034593471,0.029862219,0.028279919,0.029490964
0.03410119,0.01949743,0.021254794,0.01198286,0.007826274,0.012315078,0.00342825,0.004047567,0.027107101,0.030545328,0.032477706,0.028410294,0.026657698,0.030286418,0.031430601,0.031764994
0.02756277,0.023097232,0.018777896,0.010342693,0.010908065,0.008072663,0.001600418,0.003703399,0.028256942,0.030221542,0.02848077,0.029783757,0.031611031,0.027157164,0.031269508,0.027101315
0.029174088,0.02000357,0.019705797,0.006124441,0.005801438,0.00477614,0.00650436,0.004996174,0.029194131,0.033108043,0.029315644,0.030768756,0.032134953,0.030878772,0.029252389,0.031999439
0.031531607,0.023830426,0.014995603,0.0094554,0.005302476,0.004409327,-0.001648086,0.002868719,0.026556399,0.028097384,0.028109423,0.028340334,0.027092158,0.030470119,0.029387729,0.025051999
0.029024001,0.018462265,0.019450138,0.012945933,0.009506678,0.006327602,0.005956073,0.002754628,0.024891502,0.027500686,0.026369424,0.029373044,0.033392945,0.025478507,0.026223937,0.027610753
0.025267178,0.021813696,0.016326735,0.011546471,0.005866331,0.008079434,0.005520986,-0.002842158,0.031618175,0.024184442,0.027841087,0.031364042,0.025701098,0.028343773,0.027031759,0.028941399
0.027761827,0.012032235,0.009516146,0.010285816,0.009860934,0.005246871,0.008540962,0.009930594,0.027412991,0.032791529,0.029864105,0.029596262,0.029433633,0.030584176,0.027828919,0.027637953
0.018430565,0.018844461,0.016704412,0.017232487,0.008848381,0.005914424,0.005330422,0.008041314,0.025291936,0.02803923,0.028198942,0.028343131,0.027287998,0.023972981,0.027716922,0.028612304
